id,name,key,midi,freq_hz,scale,line,fired_centerline_length_in,master_centerline_length_in,fired_wide_od_in,master_wide_od_in,fired_tip_od_in,fired_wall_in,fired_wide_id_in,fired_tip_id_in,fired_internal_volume_in3,fired_internal_volume_ml,window_width_in,window_height_in,windway_height_in,labium_setback_in,playing_support
GEM-SC-F3,Bass F,F3,53,174.6141,2.9966,modern slip-cast consort,27.7187,31.4985,4.6448,5.2781,1.0788,0.24,4.1648,0.5988,146.5677,2401.8139,1.2885,0.4195,0.0589,1.2885,"bench, lap, or simple sling; large horn"
GEM-SC-C4,Tenor C,C4,60,261.6256,2.0,modern slip-cast consort,18.5,21.0227,3.1,3.5227,0.72,0.204,2.692,0.312,39.6387,649.5624,0.86,0.28,0.0481,0.86,two-hand standing or seated
GEM-SC-F4,Alto F,F4,65,349.2282,1.4983,modern slip-cast consort,13.8593,15.7493,2.3224,2.6391,0.5394,0.1691,1.9842,0.2012,15.8811,260.245,0.6443,0.2098,0.0416,0.6443,comfortable hand instrument
GEM-SC-C5,Soprano C,C5,72,523.2511,1.0,modern slip-cast consort baseline,9.25,10.5114,1.55,1.7614,0.36,0.13,1.29,0.1,4.3665,71.5536,0.43,0.14,0.034,0.43,primary pilot size
GEM-SC-F5,Sopranino F,F5,77,698.4565,0.7492,modern slip-cast consort,6.9297,7.8746,1.1612,1.3195,0.2697,0.11,0.9412,0.0497,1.6964,27.799,0.3221,0.1049,0.0294,0.3221,small hand instrument; hole accuracy is critical
GEM-HIST-G4,Historical Clay/Horn Archetype,G4,67,391.9954,1.3348,historically informed 4 front plus thumb study,12.3473,14.031,2.069,2.3511,0.4805,0.1568,1.7553,0.1669,10.9964,180.1994,0.574,0.1869,0.0393,0.574,small hand instrument; exact historical pitch is not known
